time_utc,rolling_variance,window_L
2026-03-08T00:00:00Z,,200
2026-03-08T00:01:00Z,,200
2026-03-08T00:02:00Z,,200
2026-03-08T00:03:00Z,,200
2026-03-08T00:04:00Z,,200
2026-03-08T00:05:00Z,,200
2026-03-08T00:06:00Z,,200
2026-03-08T00:07:00Z,,200
2026-03-08T00:08:00Z,,200
2026-03-08T00:09:00Z,,200
2026-03-08T00:10:00Z,,200
2026-03-08T00:11:00Z,,200
2026-03-08T00:12:00Z,,200
2026-03-08T00:13:00Z,,200
2026-03-08T00:14:00Z,,200
2026-03-08T00:15:00Z,,200
2026-03-08T00:16:00Z,,200
2026-03-08T00:17:00Z,,200
2026-03-08T00:18:00Z,,200
2026-03-08T00:19:00Z,,200
2026-03-08T00:20:00Z,,200
2026-03-08T00:21:00Z,,200
2026-03-08T00:22:00Z,,200
2026-03-08T00:23:00Z,,200
2026-03-08T00:24:00Z,,200
2026-03-08T00:25:00Z,,200
2026-03-08T00:26:00Z,,200
2026-03-08T00:27:00Z,,200
2026-03-08T00:28:00Z,,200
2026-03-08T00:29:00Z,,200
2026-03-08T00:30:00Z,,200
2026-03-08T00:31:00Z,,200
2026-03-08T00:32:00Z,,200
2026-03-08T00:33:00Z,,200
2026-03-08T00:34:00Z,,200
2026-03-08T00:35:00Z,,200
2026-03-08T00:36:00Z,,200
2026-03-08T00:37:00Z,,200
2026-03-08T00:38:00Z,,200
2026-03-08T00:39:00Z,,200
2026-03-08T00:40:00Z,,200
2026-03-08T00:41:00Z,,200
2026-03-08T00:42:00Z,,200
2026-03-08T00:43:00Z,,200
2026-03-08T00:44:00Z,,200
2026-03-08T00:45:00Z,,200
2026-03-08T00:46:00Z,,200
2026-03-08T00:47:00Z,,200
2026-03-08T00:48:00Z,,200
2026-03-08T00:49:00Z,,200
2026-03-08T00:50:00Z,,200
2026-03-08T00:51:00Z,,200
2026-03-08T00:52:00Z,,200
2026-03-08T00:53:00Z,,200
2026-03-08T00:54:00Z,,200
2026-03-08T00:55:00Z,,200
2026-03-08T00:56:00Z,,200
2026-03-08T00:57:00Z,,200
2026-03-08T00:58:00Z,,200
2026-03-08T00:59:00Z,,200
2026-03-08T01:00:00Z,,200
2026-03-08T01:01:00Z,,200
2026-03-08T01:02:00Z,,200
2026-03-08T01:03:00Z,,200
2026-03-08T01:04:00Z,,200
2026-03-08T01:05:00Z,,200
2026-03-08T01:06:00Z,,200
2026-03-08T01:07:00Z,,200
2026-03-08T01:08:00Z,,200
2026-03-08T01:09:00Z,,200
2026-03-08T01:10:00Z,,200
2026-03-08T01:11:00Z,,200
2026-03-08T01:12:00Z,,200
2026-03-08T01:13:00Z,,200
2026-03-08T01:14:00Z,,200
2026-03-08T01:15:00Z,,200
2026-03-08T01:16:00Z,,200
2026-03-08T01:17:00Z,,200
2026-03-08T01:18:00Z,,200
2026-03-08T01:19:00Z,,200
2026-03-08T01:20:00Z,,200
2026-03-08T01:21:00Z,,200
2026-03-08T01:22:00Z,,200
2026-03-08T01:23:00Z,,200
2026-03-08T01:24:00Z,,200
2026-03-08T01:25:00Z,,200
2026-03-08T01:26:00Z,,200
2026-03-08T01:27:00Z,,200
2026-03-08T01:28:00Z,,200
2026-03-08T01:29:00Z,,200
2026-03-08T01:30:00Z,,200
2026-03-08T01:31:00Z,,200
2026-03-08T01:32:00Z,,200
2026-03-08T01:33:00Z,,200
2026-03-08T01:34:00Z,,200
2026-03-08T01:35:00Z,,200
2026-03-08T01:36:00Z,,200
2026-03-08T01:37:00Z,,200
2026-03-08T01:38:00Z,,200
2026-03-08T01:39:00Z,,200
2026-03-08T01:40:00Z,,200
2026-03-08T01:41:00Z,,200
2026-03-08T01:42:00Z,,200
2026-03-08T01:43:00Z,,200
2026-03-08T01:44:00Z,,200
2026-03-08T01:45:00Z,,200
2026-03-08T01:46:00Z,,200
2026-03-08T01:47:00Z,,200
2026-03-08T01:48:00Z,,200
2026-03-08T01:49:00Z,,200
2026-03-08T01:50:00Z,,200
2026-03-08T01:51:00Z,,200
2026-03-08T01:52:00Z,,200
2026-03-08T01:53:00Z,,200
2026-03-08T01:54:00Z,,200
2026-03-08T01:55:00Z,,200
2026-03-08T01:56:00Z,,200
2026-03-08T01:57:00Z,,200
2026-03-08T01:58:00Z,,200
2026-03-08T01:59:00Z,,200
2026-03-08T02:00:00Z,,200
2026-03-08T02:01:00Z,,200
2026-03-08T02:02:00Z,,200
2026-03-08T02:03:00Z,,200
2026-03-08T02:04:00Z,,200
2026-03-08T02:05:00Z,,200
2026-03-08T02:06:00Z,,200
2026-03-08T02:07:00Z,,200
2026-03-08T02:08:00Z,,200
2026-03-08T02:09:00Z,,200
2026-03-08T02:10:00Z,,200
2026-03-08T02:11:00Z,,200
2026-03-08T02:12:00Z,,200
2026-03-08T02:13:00Z,,200
2026-03-08T02:14:00Z,,200
2026-03-08T02:15:00Z,,200
2026-03-08T02:16:00Z,,200
2026-03-08T02:17:00Z,,200
2026-03-08T02:18:00Z,,200
2026-03-08T02:19:00Z,,200
2026-03-08T02:20:00Z,,200
2026-03-08T02:21:00Z,,200
2026-03-08T02:22:00Z,,200
2026-03-08T02:23:00Z,,200
2026-03-08T02:24:00Z,,200
2026-03-08T02:25:00Z,,200
2026-03-08T02:26:00Z,,200
2026-03-08T02:27:00Z,,200
